Page Name,Disclaimer,Amount Spent,Number of Ads in Library
No 3rd Runway Coalition,No 3rd Runway Coalition,≤100,1
The Better Body Guru,AG Personal Fitness,≤100,1
South Leam Labour Voice,Dr Jill Davida Barker,≤100,1
Warren Fox,Warren Lee Fox,≤100,2
"Lincoln, Sleaford and North Hykeham Liberal Democrats","Lincoln, Sleaford and North Hykeham Liberal Democrats",≤100,1
Abolish & replace the House of Lords NOW,Electoral Reform Society,≤100,1
Bradford on Avon Lib Dems,Chippenham Constituency Liberal Democrats,≤100,1
Piracy Corporation,Piracy Corporation Ltd. #disruptiveoftunbridgewells,≤100,1
Plaid Cymru Seiont,Olaf Cai Larsen,≤100,1
North East Lincolnshire European Movement,Brian Milne,≤100,1
Stirling SNP,Stirling Scottish National Party (SNP),≤100,1
Shevington with Lower Ground Labour Party,Paul Anthony Collins,≤100,1
Candidate Kanika Sachdeva,Kanika Sachdeva,≤100,1
Councillor Dayne Powell,These ads ran without a disclaimer,≤100,1
Graham Jones MP,Graham Peter Jones,≤100,1
Rob James,Cllr Rob James,≤100,1
"Women's Equality Party Southwark, London",Rachel Kathryn Barber,≤100,1
Councillor Paul Kelly - Motherwell West,Paul Kelly,≤100,1
Emma Hardy MP,Emma Ann Hardy,≤100,1
Body Rolling by Andreea Radu,Andreea Stefana Radu,≤100,1
Bath & N.E. Somerset Green Party,Bath and North East Somerset Green Party,≤100,1
Vet Times,Vet Times,≤100,1
"Routledge Politics, IR and Strategic Studies",These ads ran without a disclaimer,≤100,1
Isle of Arran SNP,Kenneth Gibson,≤100,1
Nottinghamshire European Movement,Lorenzo Salzano,≤100,1
Rishi Sunak,Rishi Sunak MP,≤100,1
Cllr. Gareth Eales - For Northampton South,Northampton South Labour Party,≤100,1
Douglas Carswell,Douglas Carswell,≤100,2
Simon Cassidy - Liskeard Town Councillor,Simon Cassidy,≤100,1
Glencore,These ads ran without a disclaimer,≤100,1
Endlebury Conservatives,Endlebury Conservatives,≤100,1
New Forest for Europe,Jeremy David Fenner,≤100,1
Kevin Hollinrake MP,Kevin Paul  Hollinrake,≤100,1
Ologie Clinic,Giedre Gudauskaite,≤100,1
Michael Kusznir,Michael James D Kusznir,≤100,1
Lancaster Green Councillors,Lancaster Green Councillors,≤100,1
Open Britain - West Cumbria,Open Britain - West Cumbria,≤100,1
Wool and the Gang,These ads ran without a disclaimer,≤100,1
Russ Pollard for Warrington North,Russell Pollard,≤100,1
Bramley and Stanningley Labour Party Public,Bramley and Stanningley Labour Party,≤100,2
Krupesh Hirani,Krupesh Hirani,≤100,1
Llafur Ceredigion - Ceredigion Labour,Hannah Louise Holtom,≤100,1
Platform Design Oxford,These ads ran without a disclaimer,≤100,1
"John Edwards, Liberal Democrat in Tarvin & Kelsall",John Edwards and Ted Lush,≤100,1
Sarah Jones MP - Standing Up for Croydon,Sarah Jones MP,≤100,1
The Dazey Hills Company,Abbie Hills,≤100,1
A bundle of supplies,Miss Rexhina Agaj,≤100,2
Kennington Shadow Community Council,Kennington Shadow Community Council,≤100,1
BuzzyRange,These ads ran without a disclaimer,≤100,21
Norden & Bamford Labour,Norden & Bamford Labour,≤100,1
The Brexit Party Supporters Torfaen,These ads ran without a disclaimer,≤100,2
Beckton Labour,George James Harris,≤100,1
Cllr Fran Carpenter,Fran Carpenter,≤100,2
Great Barford Ward Liberal Democrats,Bedford Liberal Democrats,≤100,1
Bob Milton,East Surrey Conservatives,≤100,1
Cllr Andrew Polson for Bearsden South,A Polson,≤100,2
UKIP Bishop Auckland,ALAN JOJ'Y BREEZE,≤100,1
Cllr Johno Lee,Johnathan lee / Newark Conservative Association,≤100,1
Andrea Bradley 4 Labour,Andrea Bradley,≤100,1
Scott Dickinson,These ads ran without a disclaimer,≤100,1
Councillor Lana Hempsall,Lana Hempsall,≤100,1
Gianni Carofano for Mayor of Bedford,Gianni Carofano,≤100,1
Northumberland Labour Group,Northumberland Labour Group,≤100,1
Leavers of Croydon,Michael Swadling,≤100,1
UKIP Wirral,These ads ran without a disclaimer,≤100,1
Mohammed Tanveer Akhtar,Mohammed Tanveer Akhtar,≤100,1
Charles Richardson for Riccall,Charles Richardson,≤100,1
Tao Meditation Chiswick,These ads ran without a disclaimer,≤100,1
Island Independent Network,Karen Lucioni,≤100,1
"Dr Brian Lehaney, Campaigner, Gloucester",Brian Alexander Lehaney,≤100,1
Restless Beings,Restless Beings,≤100,1
Vikki Slade 4 Mid Dorset & North Poole,Mid Dorset & North Poole Liberal Democrats,≤100,1
My Westhoughton,Westhoughton Liberal Democrats,≤100,1
| vinck | larissa,These ads ran without a disclaimer,≤100,1
Brickhill Liberal Democrat FOCUS Team,Bedford Liberal Democrats,≤100,1
