Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Партія "Нові обличчя",These ads ran without a disclaimer,≤100,1
Businessforum_km,These ads ran without a disclaimer,≤100,4
ТРК ПЕРШИЙ ЗАХІДНИЙ,These ads ran without a disclaimer,≤100,1
Українська Галицька Партія,These ads ran without a disclaimer,≤100,1
FAN.AZ,These ads ran without a disclaimer,≤100,1
Valentin Santino,These ads ran without a disclaimer,≤100,2
«Всеукраїнське молодіжне об’єднання «Молоді Патріоти»,These ads ran without a disclaimer,≤100,1
ІРРП - Інститут розвитку регіональної преси,These ads ran without a disclaimer,≤100,1
Clone Evolution,These ads ran without a disclaimer,≤100,8
Інтернет Радіо Канал Благодаті,These ads ran without a disclaimer,≤100,5
Nails_yulia,These ads ran without a disclaimer,≤100,1
Міша Дзюняк,These ads ran without a disclaimer,≤100,1
Радіо Свобода,These ads ran without a disclaimer,≤100,1
Allisonssimplefashion,These ads ran without a disclaimer,≤100,1
�Генератор лучших мемов�,These ads ran without a disclaimer,≤100,1
World Events with Logical Prudency,These ads ran without a disclaimer,≤100,1
Саша Шарова,These ads ran without a disclaimer,≤100,1
Детектор ІНФО,These ads ran without a disclaimer,≤100,3
Правильный блог,These ads ran without a disclaimer,≤100,1
«Белсат» українською,These ads ran without a disclaimer,≤100,1
Творческая мастерская "Чудеса",These ads ran without a disclaimer,≤100,2
Хмельницька обласна організація Партії "Відродження",These ads ran without a disclaimer,≤100,3
Вилкул - президент Украины,Вилкул - президент Украины,≤100,1
ZAFUL,These ads ran without a disclaimer,≤100,3
Nafeed,These ads ran without a disclaimer,≤100,26
Плотина,These ads ran without a disclaimer,≤100,1
ВО "Свобода" Київ,These ads ran without a disclaimer,≤100,1
Дим Полсон,These ads ran without a disclaimer,≤100,1
Ksusha,These ads ran without a disclaimer,≤100,1
Ірина Сисоєнко,These ads ran without a disclaimer,≤100,1
SoftServe,These ads ran without a disclaimer,≤100,1
Ольга Товста788,These ads ran without a disclaimer,≤100,2
Yours Purse,These ads ran without a disclaimer,≤100,3
Cerkvarium,These ads ran without a disclaimer,≤100,1
Крим_ SOS,These ads ran without a disclaimer,≤100,2
Пурпурный кот,These ads ran without a disclaimer,≤100,1
Игорь Цыркин,These ads ran without a disclaimer,≤100,1
IA ЗІК,These ads ran without a disclaimer,≤100,2
Космолот,These ads ran without a disclaimer,≤100,1
PipeCandy,These ads ran without a disclaimer,≤100,13
SV4IE,These ads ran without a disclaimer,≤100,1
Телеканал Дніпро,These ads ran without a disclaimer,≤100,1
Партия 5.10,These ads ran without a disclaimer,≤100,1
Народний Рух України,Народний Рух України,≤100,1
ДемАльянс Миколаїв,These ads ran without a disclaimer,≤100,1
Diplomat.v.i,These ads ran without a disclaimer,≤100,2
Addivine. Маркетинговое агенство,These ads ran without a disclaimer,≤100,1
ВО "Свобода"  місто Хуст,These ads ran without a disclaimer,≤100,1
eToro,These ads ran without a disclaimer,≤100,2
Україна,These ads ran without a disclaimer,≤100,1
Лариса Білозір,These ads ran without a disclaimer,≤100,3
Vidpovidipdr.icu,These ads ran without a disclaimer,≤100,1
Умный Город Дружковка,These ads ran without a disclaimer,≤100,1
Громадська рада при ФДМУ,These ads ran without a disclaimer,≤100,1
"Брендовая, одежда и обувь",These ads ran without a disclaimer,≤100,1
Xxiii.x,These ads ran without a disclaimer,≤100,1
Кургузов Юліан,These ads ran without a disclaimer,≤100,2
Sova,These ads ran without a disclaimer,≤100,1
Odessa.Ltd,These ads ran without a disclaimer,≤100,1
Арсен Шимук,These ads ran without a disclaimer,≤100,1
Житомир.TV,These ads ran without a disclaimer,≤100,1
Hawk: Freedom Squadron,These ads ran without a disclaimer,≤100,1
On Your Sleeve,These ads ran without a disclaimer,≤100,6
UNL News - Новини Червонограда та України,These ads ran without a disclaimer,≤100,2
Анатолий Пономарев,These ads ran without a disclaimer,≤100,1
KRYM - критичне мислення - КРИМ,These ads ran without a disclaimer,≤100,2
1ukrnews,These ads ran without a disclaimer,≤100,2
Руслан,These ads ran without a disclaimer,≤100,1
Равиль Кондаков,These ads ran without a disclaimer,≤100,2
Sunsets,These ads ran without a disclaimer,≤100,1
Саталь,These ads ran without a disclaimer,≤100,7
Oleksiy Plotnikov,These ads ran without a disclaimer,≤100,1
Бадді НаУКМА,Микола Рибитва,≤100,1
Ежедневники блокноты канцелярия Life FLUX,These ads ran without a disclaimer,≤100,2
Житомир.info,These ads ran without a disclaimer,≤100,1
Masha Tochilkina,These ads ran without a disclaimer,≤100,1
bilet.km.ua,These ads ran without a disclaimer,≤100,1
Baldinelli,These ads ran without a disclaimer,≤100,3
Киев наизнанку,These ads ran without a disclaimer,≤100,1
Marks and Spencer,These ads ran without a disclaimer,≤100,1
Геракліт,These ads ran without a disclaimer,≤100,1
Цеппелін Україна АГРО,These ads ran without a disclaimer,≤100,2
YaRo �,These ads ran without a disclaimer,≤100,1
Begemot,Володимир Плотніков,≤100,1
Хвиля,These ads ran without a disclaimer,≤100,1
Коаліція Національної Єдності,These ads ran without a disclaimer,≤100,2
ПАН - Полтавська Арена Новин,These ads ran without a disclaimer,≤100,1
Платон,These ads ran without a disclaimer,≤100,1
Воїнторг Спецназ,These ads ran without a disclaimer,≤100,1
Svitlana KEMIN •beauty studio•,These ads ran without a disclaimer,≤100,1
NewU Project,These ads ran without a disclaimer,≤100,2
Olga Tsiupka,These ads ran without a disclaimer,≤100,1
Практика влади / Power in Practice / Практика власти,These ads ran without a disclaimer,≤100,1
Herbhaul,These ads ran without a disclaimer,≤100,1
UkrTrash - самое интересное в Украине и мире,These ads ran without a disclaimer,≤100,2
Stephen Webster,These ads ran without a disclaimer,≤100,2
Мой Город,These ads ran without a disclaimer,≤100,3
Школа парикмахеров Эстель,These ads ran without a disclaimer,≤100,2
Черкаська обласна партійна організація Аграрної партії України,These ads ran without a disclaimer,≤100,2
Республіка,These ads ran without a disclaimer,≤100,2
Maya papaya,These ads ran without a disclaimer,≤100,1
Nano Lybrex,These ads ran without a disclaimer,≤100,2
Ford Trucks AVTEK,These ads ran without a disclaimer,≤100,1
Дамо відсіч російським посіпакам,These ads ran without a disclaimer,≤100,1
Artstroyka,These ads ran without a disclaimer,≤100,1
WHY NOT,These ads ran without a disclaimer,≤100,1
Команда Зе Києво-Святошин,These ads ran without a disclaimer,≤100,1
Українська Громадська Рада,These ads ran without a disclaimer,≤100,1
ПРАВИЙ СЕКТОР / Львівщина,These ads ran without a disclaimer,≤100,1
T,These ads ran without a disclaimer,≤100,1
Дмитрий,These ads ran without a disclaimer,≤100,1
Lucia Kleštincová,These ads ran without a disclaimer,≤100,1
Мій Луцьк,These ads ran without a disclaimer,≤100,1
Ocean & Co.,These ads ran without a disclaimer,≤100,20
Герман Назаренко,These ads ran without a disclaimer,≤100,1
Українська Бесіда - питання Народу політикам,These ads ran without a disclaimer,≤100,1
Національний корпус Дніпро,These ads ran without a disclaimer,≤100,1
Rockphalt,These ads ran without a disclaimer,≤100,1
FanTees,These ads ran without a disclaimer,≤100,20
UNMOMENTO,These ads ran without a disclaimer,≤100,1
Чернигов Европейский,These ads ran without a disclaimer,≤100,2
Новини Закарпаття,These ads ran without a disclaimer,≤100,1
Олександр Фірст,These ads ran without a disclaimer,≤100,1
Именные вещи в Keysi shop,These ads ran without a disclaimer,≤100,1
Свідомий Українець,These ads ran without a disclaimer,≤100,1
ВОЛЯ Хмельниччина,These ads ran without a disclaimer,≤100,1
Postanovka,These ads ran without a disclaimer,≤100,1
POLITCONSULTANT.org,These ads ran without a disclaimer,≤100,1
Lana PRO Life,These ads ran without a disclaimer,≤100,1
Stopfake,These ads ran without a disclaimer,≤100,1
Klownski Foundation,These ads ran without a disclaimer,≤100,1
Евромайдан Мариуполь,These ads ran without a disclaimer,≤100,1
ПідтримкаПатріотівУкраїни,These ads ran without a disclaimer,≤100,1
Giving Brush,These ads ran without a disclaimer,≤100,1
Best Design Crowdfunding Projects,These ads ran without a disclaimer,≤100,8
Heisenberg Pub,These ads ran without a disclaimer,≤100,1
Viktor Opanasenko,These ads ran without a disclaimer,≤100,1
Marine Merch,These ads ran without a disclaimer,≤100,21
Моніторинг якості надання послуг органами влади,These ads ran without a disclaimer,≤100,1
