Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Я підтримую Ольгу Богомолець,These ads ran without a disclaimer,148,3
Яценко Антон,These ads ran without a disclaimer,144,13
New.Tashe,These ads ran without a disclaimer,142,38
Віктор Балога,Політична партія "Єдиний Центр",140,10
Ukrainian World Congress - Свiтовий Конґрес Українців,These ads ran without a disclaimer,140,2
Никополь,ООО Шторм Диджитал,140,1
Блок Петра Порошенка Солідарність,These ads ran without a disclaimer,140,4
Internews Ukraine,Інтерньюз-Україна,139,10
Ukranews.com,Ukranews.com,136,2
Агентство расследований  Maрионетки,Артем Фляжніков,135,4
Україна #1,These ads ran without a disclaimer,135,3
Михаил Капустянский,These ads ran without a disclaimer,134,5
Громадянська позиція - Івано-Франківська область,These ads ran without a disclaimer,132,5
Партія Основа - Кропивницький,Партія "Основа" Кропивницький,131,3
Запоріжжя підтримує Петра Порошенка,Євген Кіленко,131,1
Команда Зеленського на Луганщині,These ads ran without a disclaimer,130,16
Опозиційний Блок Коростень,These ads ran without a disclaimer,127,6
Зе сообщество  Слуга Народа  45+,Sergiy Shumsky,126,13
Правда України,Дарина Сандлер,124,2
ВО "Свобода" Хмельницький,ВО "Свобода" Хмельницький,124,2
Светлана Бедлецкая,Svitlana Bedletska,123,2
Ірпінь онлайн - новини Ірпінського регіону,These ads ran without a disclaimer,123,9
Юрій Чмирь,Liubov Karpenko,120,1
Голосуй,Голосуй,119,7
Ukraine Freedom,These ads ran without a disclaimer,119,2
Лазуренко Андрей,These ads ran without a disclaimer,119,6
Соціалістична Партія України,These ads ran without a disclaimer,115,5
Оппозиционный блок - Партия Мира и Развития. Одесса.,These ads ran without a disclaimer,115,3
Команда Зеленського у Львові,These ads ran without a disclaimer,114,10
Українська Галицька Партія,Українська Галицька Партія,113,15
Володимир Пилипенко,Володимир Пилипенко,113,7
TopTrend,These ads ran without a disclaimer,112,4
ТСН,These ads ran without a disclaimer,112,6
ВО "Свобода" - Рівненська обласна організація,These ads ran without a disclaimer,111,9
Антикорупційна Платформа,These ads ran without a disclaimer,110,11
Громадське радіо,Kyrylo Loukerenko,110,1
Команда Зеленського у Хмельницькому,These ads ran without a disclaimer,109,5
Волинь.Солідарність,Мирка Іван,107,2
Сергей Васильевич Кивалов,Сергій Ківалов,106,10
Апостроф,These ads ran without a disclaimer,106,6
Александр Иваницкий,These ads ran without a disclaimer,105,7
ВГО "Сокіл" Солом'янський район,ВГО "Сокіл" Київ,105,6
Чмирь Юрій Павлович,These ads ran without a disclaimer,104,1
Петро Кузик,Омеляненко Маргарита,104,4
Избирком,These ads ran without a disclaimer,103,2
Громадська ініціатива "Захисти Україну",These ads ran without a disclaimer,103,1
Enigma Club,Volodymyr Pasika,102,7
Volunteer,Сергiй Чуприна,101,5
Медиа-КР #КривойРог,These ads ran without a disclaimer,101,8
Pravda/Правда,These ads ran without a disclaimer,101,2
ZPOST,ZPOST,101,32
Денис Борисенко (Denys Borysenko),Денис Борисенко,≤100,1
Відповідальне Лідерство,These ads ran without a disclaimer,≤100,3
За Зеленського,These ads ran without a disclaimer,≤100,1
Мер Києва,These ads ran without a disclaimer,≤100,1
Mikheil Saakashvili,Kapelyushnyy Olexiy,≤100,1
Mediaprostir,Максим Мирошниченко,≤100,1
Информ-UA,Олександр Гапонов,≤100,2
Яценко Антон,Антон Яценко,≤100,1
Стоянов Вадим,ВО "Свобода",≤100,2
Кадровий резерв України,Люди важливі,≤100,6
Громадська варта,These ads ran without a disclaimer,≤100,1
Стильно Модно Магазин одежды и обуви,These ads ran without a disclaimer,≤100,8
Українська Галицька Партія. Київ,Українська Галицька Партія. Київ,≤100,6
Роман Безсмертний,These ads ran without a disclaimer,≤100,5
Mind. UA,Mind. UA,≤100,18
Глобальный еврейский онлайн центр Jewish.Ru,These ads ran without a disclaimer,≤100,3
"Коррупция в деталях. Новости, аналитика",These ads ran without a disclaimer,≤100,1
Європейська партія України,These ads ran without a disclaimer,≤100,5
Maplos.com,These ads ran without a disclaimer,≤100,8
Стасюк Роман офіційна сторінка депутата,Роман Стасюк,≤100,10
Політика по-українськи,These ads ran without a disclaimer,≤100,6
«Корреспондент»,Дарина Сандлер,≤100,1
Сергій Рибалка,These ads ran without a disclaimer,≤100,1
Top Trend,These ads ran without a disclaimer,≤100,6
Украина справедливая,Євген Долгокеров,≤100,5
News.Thrash,These ads ran without a disclaimer,≤100,17
На твоем районе,These ads ran without a disclaimer,≤100,2
Віталій Журавський,These ads ran without a disclaimer,≤100,7
ВО «Свобода» Київська область,These ads ran without a disclaimer,≤100,9
Команда Зеленського у Білій Церкві,These ads ran without a disclaimer,≤100,5
Олександр Савченко,These ads ran without a disclaimer,≤100,4
Great Event School,These ads ran without a disclaimer,≤100,4
Голосуй,These ads ran without a disclaimer,≤100,11
Центр політичної освіти,These ads ran without a disclaimer,≤100,2
Юрій Левченко,Юрій Левченко,≤100,9
Impads,These ads ran without a disclaimer,≤100,7
Сегодня Life,Сегодня Multimedia,≤100,15
Ренат Кузьмин,These ads ran without a disclaimer,≤100,4
ВО «Свобода» Київська область,Микула Руслан,≤100,2
Управління житлово-комунального господарства та комунальної власності ДОР,Валерій Безус,≤100,7
Соціалісти. Політична партія,Соціалісти. Політична партія,≤100,21
ДемАльянс,ДемАльянс (Демократичний альянс),≤100,5
Navysand,These ads ran without a disclaimer,≤100,1
Константин Павлов,These ads ran without a disclaimer,≤100,3
Шустер на минималках,These ads ran without a disclaimer,≤100,4
Сторінка однодумців Анатолія Гриценка у Прилуках,These ads ran without a disclaimer,≤100,10
Реальна Україна,These ads ran without a disclaimer,≤100,3
Телеканал "Прямий",These ads ran without a disclaimer,≤100,3
Київський планетарій / Kyiv Planetarium,These ads ran without a disclaimer,≤100,1
Інтернет Радіо Канал Благодаті,Андрій Пукавський,≤100,8
Максим Степанов,These ads ran without a disclaimer,≤100,5
Celebrity Voice Changer,Celebrity Voice Changer,≤100,4
Валентин Наливайченко,These ads ran without a disclaimer,≤100,8
УНН - Українські Національні Новини,УНН - Українські Національні Новини,≤100,7
Telegram.ua,These ads ran without a disclaimer,≤100,2
Українська Галицька Партія. Львів,Українська Галицька Партія,≤100,8
Українська Галицька Партія. Київ,These ads ran without a disclaimer,≤100,7
Громадянський Рух "CВІДОМІ",Melnyk Daryna,≤100,9
Буковинський центр,Буковинський центр,≤100,1
Grand Autos - машины из США,These ads ran without a disclaimer,≤100,1
Команда Зеленського у Василькові,These ads ran without a disclaimer,≤100,4
Это нАш квартал,These ads ran without a disclaimer,≤100,16
Опять 2ц5,These ads ran without a disclaimer,≤100,20
Типова українська політика,Ігор Денисов,≤100,5
Інтернет- видання "Експертна думка",Анатолий Мороз,≤100,70
